date,cluster,PM2.5,PM10,SO2,NO2,CO,O3
2013-03-01,1,9.0,9.0,6.0,17.0,200.0,62.0
2013-03-01,1,11.0,11.0,7.0,14.0,200.0,66.0
2013-03-01,1,8.0,8.0,7.0,16.0,200.0,59.0
2013-03-01,1,8.0,8.0,3.0,16.0,200.0,59.0
2013-03-01,1,8.0,8.0,3.0,16.0,300.0,36.0
2013-03-01,1,10.0,10.0,4.0,8.0,200.0,64.0
2013-03-01,1,8.0,8.0,6.0,13.0,300.0,61.0
2013-03-01,1,8.0,8.0,8.0,20.0,300.0,54.0
2013-03-01,1,3.0,6.0,9.0,23.0,300.0,50.0
2013-03-01,1,3.0,6.0,10.0,18.0,300.0,56.0
2013-03-01,1,3.0,6.0,11.0,15.0,300.0,61.0
2013-03-01,1,3.0,6.0,9.0,14.0,300.0,62.0
2013-03-01,1,3.0,6.0,8.0,10.0,300.0,67.0
2013-03-01,1,3.0,9.0,7.0,9.0,300.0,70.0
2013-03-01,1,3.0,14.0,7.0,8.0,300.0,72.0
2013-03-01,1,12.0,14.0,5.0,7.0,200.0,73.0
2013-03-01,1,11.0,17.0,7.0,9.0,300.0,72.0
2013-03-01,1,13.0,18.0,8.0,14.0,300.0,67.0
2013-03-01,1,10.0,18.0,9.0,20.0,400.0,58.0
2013-03-01,1,10.0,16.0,7.0,29.0,500.0,50.0
2013-03-01,1,11.0,12.0,6.0,29.0,500.0,47.0
2013-03-01,1,10.0,12.0,6.0,31.0,500.0,44.0
2013-03-01,1,10.0,13.0,11.0,39.0,500.0,34.0
2013-03-01,1,15.0,15.0,14.0,41.0,500.0,31.0
2013-03-02,1,5.0,10.0,11.0,35.0,400.0,39.0
2013-03-02,1,3.0,8.0,9.0,33.0,400.0,40.0
2013-03-02,1,3.0,6.0,9.0,29.0,300.0,44.0
2013-03-02,1,3.0,6.0,9.0,29.0,400.0,43.0
2013-03-02,1,3.0,6.0,8.0,30.0,400.0,41.0
2013-03-02,1,8.0,8.0,6.0,15.0,300.0,57.0
2013-03-02,1,8.0,8.0,10.0,31.0,400.0,37.0
2013-03-02,1,3.0,6.0,16.0,61.0,600.0,8.0
2013-03-02,1,4.0,7.0,17.0,53.0,500.0,17.0
2013-03-02,1,4.0,11.0,17.0,50.0,500.0,23.0
2013-03-02,1,5.0,14.0,22.0,52.0,600.0,20.0
2013-03-02,1,13.0,18.0,20.0,61.0,1000.0,15.0
2013-03-02,1,17.0,25.0,19.0,47.0,700.0,29.0
2013-03-02,1,24.0,28.0,18.0,35.0,600.0,43.0
